,Reaction 1,Reaction2
516,HMR_8410,HMR_1101
517,HMR_8410,HMR_2552
518,HMR_8410,HMR_1127
519,HMR_8410,HMR_2465
520,HMR_1147,HMR_8410
521,HMR_8410,HMR_0995
522,HMR_1192,HMR_8410
523,HMR_8410,HMR_2567
524,HMR_8410,HMR_1130
525,HMR_8410,HMR_1098
526,HMR_8410,HMR_2466
527,HMR_8410,HMR_0998
528,HMR_2557,HMR_8410
529,HMR_1088,HMR_8410
530,HMR_8410,HMR_1043
531,HMR_8410,HMR_1959
532,HMR_1150,HMR_8410
533,HMR_1154,HMR_8410
534,HMR_1384,HMR_8410
535,HMR_8410,HMR_1295
536,HMR_8410,HMR_1070
537,HMR_8410,HMR_1970
538,HMR_0996,HMR_8410
539,HMR_8410,HMR_1151
540,HMR_6680,HMR_8410
541,HMR_8410,HMR_6651
542,HMR_1276,HMR_8410
543,HMR_8410,RE3514C
544,HMR_2551,HMR_8410
545,HMR_8410,HMR_0753
546,HMR_1091,HMR_8410
547,HMR_1229,HMR_8410
548,HMR_8410,HMR_1256
549,HMR_2578,HMR_8410
550,HMR_8410,HMR_8709
551,HMR_8410,HMR_2558
552,HMR_8410,HMR_1247
553,HMR_1308,HMR_8410
554,HMR_1262,HMR_8410
555,HMR_0951,HMR_8410
556,HMR_8410,HMR_1253
557,HMR_1103,HMR_8410
558,HMR_8410,HMR_1254
559,HMR_1282,HMR_8410
560,HMR_8410,HMR_1139
561,HMR_8410,HMR_1290
562,HMR_0405,HMR_8410
563,HMR_1119,HMR_8410
564,HMR_8410,HMR_1198
565,HMR_8410,HMR_1148
566,HMR_1115,HMR_8410
567,HMR_1199,HMR_8410
568,HMR_7928,HMR_8410
569,HMR_2571,HMR_8410
570,HMR_8410,HMR_1190
571,HMR_8410,HMR_1259
572,HMR_8410,HMR_2570
573,HMR_1379,HMR_8410
574,HMR_8410,HMR_2561
575,HMR_8410,HMR_1279
576,HMR_8410,HMR_8698
577,HMR_8410,HMR_1367
578,HMR_1345,HMR_8410
579,RE3446X,HMR_8410
580,HMR_8410,HMR_0992
581,HMR_1123,HMR_8410
582,HMR_8410,HMR_1393
583,HMR_8410,HMR_8556
584,HMR_8410,HMR_1395
585,HMR_0960,HMR_8410
586,HMR_8410,HMR_8549
587,HMR_8410,HMR_1121
588,HMR_8410,HMR_1153
589,HMR_8410,HMR_1200
590,HMR_8410,HMR_1097
591,HMR_0993,HMR_8410
592,HMR_8410,HMR_1270
593,HMR_8410,HMR_1315
594,HMR_2562,HMR_8410
595,HMR_8410,HMR_1336
596,HMR_8555,HMR_8410
597,HMR_1300,HMR_8410
598,HMR_1339,HMR_8410
599,HMR_1278,HMR_8410
600,HMR_0969,HMR_8410
601,HMR_2559,HMR_8410
602,HMR_8410,HMR_1319
603,HMR_8410,HMR_0935
604,HMR_1002,HMR_8410
605,HMR_8410,HMR_1333
606,HMR_2586,HMR_8410
607,HMR_8410,HMR_1022
608,HMR_1337,HMR_8410
609,HMR_8410,HMR_0999
610,HMR_8410,HMR_1388
611,HMR_2577,HMR_8410
612,HMR_8410,HMR_2565
613,HMR_8410,HMR_2441
614,HMR_6393,HMR_8410
615,HMR_8410,HMR_1042
616,HMR_8410,HMR_1334
617,HMR_8410,HMR_1110
618,HMR_1050,HMR_8410
