,Reaction 1,Reaction2
823,HMR_3586,HMR_2633
824,HMR_10036,HMR_3648
825,HMR_2633,HMR_3675
826,HMR_2599,HMR_2311
827,HMR_3576,HMR_2633
828,HMR_3586,HMR_2602
829,HMR_3559,HMR_2602
830,HMR_2599,HMR_2528
831,HMR_2319,HMR_2785
832,HMR_2602,HMR_5142
833,HMR_1473,r0781
834,IPDDIx,HMR_1457
835,HMR_2633,HMR_2915
836,HMR_3665,HMR_2602
837,HMR_2421,HMR_2599
838,FAOXC180,HMR_3117
839,HMR_2806,HMR_2602
840,HMR_2421,RE3168R
841,HMR_2421,HMR_2752
842,HMR_2421,RE3167R
843,HMR_2421,RE3166R
844,HMR_2421,RE3165R
845,HMR_2421,HMR_2785
846,HMR_8441,HMR_0589
847,HMR_2602,HMR_3548
848,HMR_1460,DMATTx
849,HMR_10036,HMR_3540
850,HMR_2894,HMR_10036
851,HMR_0773,HMR_0623
852,HMR_3651,HMR_10036
853,HMR_2672,HMR_2633
854,HMR_3631,HMR_10036
855,HMR_2421,HMR_2890
856,HMR_2862,HMR_2478
857,C181CPT1,HMR_0357
858,HMR_2602,HMR_2859
859,HMR_2173,r1253
860,HMR_2602,HMR_3682
861,HMR_3635,HMR_10036
862,HMR_2633,HMR_3563
863,HMR_2862,HMR_2173
864,HMR_2633,HMR_5150
865,HMR_2326,HMR_2785
866,HMR_2175,HMR_2862
867,HMR_5150,HMR_2602
868,HMR_2599,HMR_2423
869,HMR_2175,HMR_2982
870,HMR_2284,HMR_3233
871,HMR_2175,r1253
872,HMR_2602,HMR_5148
873,HMR_2284,HMR_3231
874,HMR_2284,HMR_2622
875,HMR_2803,HMR_2626
876,HMR_2284,HMR_3230
